"INSEE_COM","STATUT","POPULATION","TX_LOG_SEC","TYPO_LOG_SEC","POP_CHOM","POP_ACT","POP_OCC","TX_CHOM"
"31274","Commune simple",177,9.03859174001354,"moyenne",7.95505617977528,87.5056179775281,79.5505617977528,9.09090909090909
"31275","Commune simple",177,8.3502066021054,"moyenne",7.37500000000001,81.1250000000001,73.7500000000001,9.09090909090909
"31276","Commune simple",293,13.7285449694765,"moyenne",21.2172413793104,124.272413793104,103.055172413793,17.0731707317073
"31277","Commune simple",1502,1.74620112379663,"faible",50.2563450600158,803.837546305805,753.581201245789,6.25205245649183
"31278","Commune simple",324,10.4651162790698,"moyenne",11,159,148,6.91823899371069
"31279","Commune simple",77,15.6498604554109,"moyenne",7.18666666666669,37.9866666666668,30.8000000000001,18.9189189189189
"31280","Commune simple",365,5.61224489795918,"moyenne",30,190,160,15.7894736842105
"31281","Commune simple",1405,2.33565590433043,"moyenne",90.629551742682,745.929267273162,655.29971553048,12.1498854809639
"31282","Commune simple",8564,0.604419374942133,"faible",540.877349335601,4591.47788490726,4050.60053557166,11.7800273222164
"31283","Commune simple",266,3.10077519379845,"moyenne",17,140,123,12.1428571428571
"31284","Commune simple",1565,0.169754225508936,"faible",56.1744332493703,819.949622166247,763.775188916877,6.85096153846154
"31285","Commune simple",732,1.4861196934046,"faible",19.7039030955585,376.344549125168,356.64064602961,5.23560209424084
"31286","Commune simple",631,1.74902124307922,"faible",27.8821991486333,311.368821348306,283.486622199672,8.9547177613662
"31287","Commune simple",2958,2.84252278601657,"moyenne",139.143003539668,1494.72691223444,1355.58390869477,9.30892475413224
"31288","Commune simple",327,9.46566136698928,"moyenne",13.3401820508425,135.831255224723,122.491073173881,9.82114317413332
"31289","Commune simple",260,6.02953083501572,"moyenne",11.6417910447761,109.626865671642,97.9850746268657,10.6194690265487
"31290","Commune simple",43,54.2597170996637,"forte",5.1190476190476,18.4285714285714,13.3095238095238,27.7777777777778
"31291","Commune simple",9063,0.628962528092837,"faible",420.518589650862,5038.87171693033,4618.35312727947,8.34549107963877
"31292","Commune simple",71,2.59610027855153,"moyenne",3.94444444444444,32.5416666666667,28.5972222222222,12.1212121212121
"31293","Commune simple",2692,0.362523058003732,"faible",143.463701977171,1547.01035614029,1403.54665416312,9.27360966962789
"31294","Commune simple",96,13.4033353922174,"moyenne",9.29032258064517,38.1935483870968,28.9032258064516,24.3243243243243
"31295","Commune simple",80,22.4722357621827,"forte",3.95061728395062,33.5802469135802,29.6296296296296,11.7647058823529
"31296","Commune simple",437,7.03101920236335,"moyenne",33.4206000949049,201.391687148162,167.971087053257,16.5948260169833
"31297","Commune simple",2067,1.86233775931125,"moyenne",89.9971604353999,1025.18504495977,935.187884524373,8.77862595419847
"31299","Commune simple",3630,0.999520644474586,"faible",194.15788510794,1809.8637028906,1615.70581778266,10.7277628032345
"31300","Commune simple",126,1.60112719354426,"faible",7.056,61.488,54.432,11.4754098360656
"31301","Commune simple",131,21.2798035710439,"forte",5.03846153846155,50.3846153846155,45.346153846154,10
"31302","Commune simple",290,5.75539568345324,"moyenne",13,139,126,9.35251798561151
"31303","Commune simple",3020,1.46203171885973,"faible",182.258273848151,1492.36210253082,1310.10382868267,12.2127380170716
"31304","Commune simple",463,7.92079207920792,"moyenne",29,255,226,11.3725490196078
"31305","Commune simple",198,12.9534495256705,"moyenne",6.0612244897959,98.9999999999997,92.9387755102038,6.12244897959184
"31306","Commune simple",91,56.9638101206329,"forte",3.95652173913044,39.5652173913044,35.6086956521739,10
"31308","Commune simple",58,34.8027842227378,"forte",0,18.3666666666667,18.3666666666667,0
"31309","Commune simple",226,14.2726573905366,"moyenne",14.9339207048458,101.550660792952,86.6167400881058,14.7058823529412
"31310","Commune simple",346,3.07875348741006,"moyenne",12.0546004869571,172.782606979719,160.728006492762,6.97674418604651
"31311","Commune simple",1164,1.33587786259542,"faible",56.3214285714286,584.97619047619,528.654761904762,9.62798648703651
"31312","Commune simple",35,0,"faible",0,17.5,17.5,0
"31313","Commune simple",119,41.3332019259114,"forte",6.21241406592462,53.7696523077914,47.5572382418667,11.5537553234735
"31314","Commune simple",427,4.39151011529849,"moyenne",22.9335038363172,192.204603580563,169.271099744246,11.9318181818182
"31315","Commune simple",973,8.07496889257587,"moyenne",63.9888974807159,394.083421818862,330.094524338146,16.2373989713599
"31316","Commune simple",480,33.1073390545832,"forte",19.7525773196036,195.550515464076,175.797938144472,10.1010101010101
"31317","Commune simple",470,4.97248725414567,"moyenne",39.047095947407,238.513064875209,199.465968927802,16.3710511907751
"31318","Commune simple",220,10.9322300670054,"moyenne",10.9502262443439,98.552036199095,87.6018099547511,11.1111111111111
"31319","Commune simple",137,6.11234091699921,"moyenne",11.6821705426357,60.5348837209303,48.8527131782946,19.2982456140351
"31320","Commune simple",980,1.15564469517915,"faible",52.4449108079746,504.910807974814,452.46589716684,10.3869653767821
"31321","Commune simple",124,23.75,"forte",5,67,62,7.46268656716418
"31322","Commune simple",59,20.2275600505689,"forte",6.88333333333333,23.6,16.7166666666667,29.1666666666667
"31323","Commune simple",364,6.70103092783505,"moyenne",16,178,162,8.98876404494382
"31324","Commune simple",2369,4.70588235294118,"moyenne",185,1004,819,18.4262948207171
"31325","Commune simple",169,4.22535211267606,"moyenne",7,99,92,7.07070707070707
"31326","Commune simple",87,8.71768371691246,"moyenne",3.91011235955056,43.0112359550562,39.1011235955056,9.09090909090909
"31327","Commune simple",224,12.2983534284092,"moyenne",14.2545454545455,120.145454545455,105.890909090909,11.864406779661
"31328","Commune simple",328,6.00187748478229,"moyenne",9.2830188679245,173.283018867924,163.999999999999,5.35714285714286
"31329","Commune simple",202,8.24742268041237,"moyenne",9,110,101,8.18181818181818
"31330","Commune simple",512,5.21728455683771,"moyenne",30.1176470588235,262.023529411764,231.905882352941,11.4942528735632
"31331","Commune simple",303,0,"faible",11.8457829968509,153.90582521426,142.060042217409,7.69677364736507
"31332","Commune simple",241,4.52044025131122,"moyenne",21.9130523768752,132.496280924023,110.583228547148,16.5386169514001
"31333","Commune simple",90,15.5555555555556,"moyenne",5,42,37,11.9047619047619
"31334","Commune simple",1263,1.59354857937594,"faible",51.2693208430913,639.88056206089,588.611241217798,8.01232665639446
"31335","Commune simple",24,67.6470588235294,"forte",0,9,9,0
"31336","Commune simple",601,9.54798651264158,"moyenne",41.6151368760064,277.756843800322,236.141706924316,14.9825783972125
"31337","Commune simple",88,69.6256903252199,"forte",3.82608695652174,39.2173913043478,35.3913043478261,9.75609756097561
"31338","Commune simple",762,2.49891915261564,"moyenne",28.9382039272529,407.660915886932,378.722711959679,7.09859660308448
"31339","Commune simple",485,2.61797367518661,"moyenne",22.9526748971193,256.471193415638,233.518518518519,8.94941634241245
"31340","Commune simple",266,4.04728419932343,"moyenne",7.8235294117647,131.044117647059,123.220588235294,5.97014925373134
"31341","Commune simple",5367,6.33213859020311,"moyenne",299,2806,2507,10.655737704918
"31342","Commune simple",178,44.5086705202312,"forte",12,91,79,13.1868131868132
"31343","Commune simple",64,21.6865521021865,"forte",3.14754098360655,17.8360655737705,14.6885245901639,17.6470588235294
"31344","Commune simple",771,3.98435263810708,"moyenne",69.6251340897727,302.432403783394,232.807269693621,23.0217176528608
"31345","Commune simple",2437,1.59329792671273,"faible",133.720806774002,1199.87138077726,1066.15057400326,11.1445950721301
"31346","Commune simple",1001,1.86046511627907,"moyenne",62,541,479,11.460258780037
"31347","Commune simple",166,14,"moyenne",7,80,73,8.75
"31348","Commune simple",38,62.844275768064,"forte",2.05405405405406,9.24324324324327,7.18918918918921,22.2222222222222
"31349","Commune simple",907,1.41617355429263,"faible",49.271618625277,416.294900221728,367.023281596451,11.8357487922705
"31350","Commune simple",98,20.3125,"forte",5,35,30,14.2857142857143
"31351","Commune simple",4541,0.539143363478365,"faible",257.738839834743,2587.57623602162,2329.83739618688,9.96062787433131
"31352","Commune simple",237,0,"faible",5.02118644067795,103.436440677966,98.4152542372878,4.85436893203883
"31353","Commune simple",93,5.8767714486854,"moyenne",5.16666666666665,47.5333333333332,42.3666666666665,10.8695652173913
"31354","Commune simple",67,3.52571699454847,"moyenne",2.39285714285714,33.5,31.1071428571429,7.14285714285714
"31355","Commune simple",1762,0.155763239875389,"faible",49,842,793,5.81947743467934
"31356","Commune simple",1604,0.79874137722378,"faible",61.4355106917141,817.500096682971,756.064585991257,7.51504629063536
"31357","Commune simple",273,19.3284909172317,"forte",8.13576158940397,125.652317880795,117.516556291391,6.47482014388489
"31358","Commune simple",3358,1.29979965817399,"faible",135.512968112022,1693.88398553994,1558.37101742791,8.00013278765524
"31359","Commune simple",75,9.375,"moyenne",7,39,32,17.9487179487179
"31360","Commune simple",488,39.7124441831668,"forte",13.8870535043553,182.515560342956,168.6285068386,7.60869565217391
"31361","Commune simple",517,5.03731618894428,"moyenne",12.2608695652174,253.391304347825,241.130434782608,4.83870967741935
"31362","Commune simple",209,6.16299387143044,"moyenne",13.8672985781991,90.1374407582938,76.2701421800948,15.3846153846154
"31363","Commune simple",222,22.8806508274014,"forte",10.8533333333333,88.8,77.9466666666667,12.2222222222222
"31364","Commune simple",2932,1.2589928057554,"faible",108,1510,1402,7.1523178807947
"31365","Commune simple",477,22.5433526011561,"forte",44,208,164,21.1538461538462
"31366","Commune simple",590,5.04943382030372,"moyenne",15.3817358158891,324.433952945849,309.05221712996,4.74109928268095
"31367","Commune simple",90,3.08485393993946,"moyenne",2.3076923076923,43.8461538461537,41.5384615384614,5.26315789473684
"31368","Commune simple",242,0,"faible",12.3050847457627,121,108.694915254237,10.1694915254237
"31369","Commune simple",42,37.5,"forte",1,14,13,7.14285714285714
"31370","Commune simple",135,4.91803278688525,"moyenne",4,71,67,5.63380281690141
"31371","Commune simple",455,2.14004674127304,"moyenne",14.8139534883721,224.325581395349,209.511627906977,6.60377358490566
